Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota"
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois"
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois"
ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts"
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California"
ADBE,Adobe,Information Technology,Application Software,"San Jose, California"
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California"
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina"
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia"
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California"
APD,Air Products & Chemicals,Materials,Industrial Gases,"Allentown, Pennsylvania"
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts"
ALK,Alaska Air Group,Industrials,Airlines,"Seattle, Washington"
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina"
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California"
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California"
ALLE,Allegion,Industrials,Building Products,"New York City, New York"
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin"
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois"
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,"Mountain View, California"
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,"Mountain View, California"
MO,Altria Group,Consumer Staples,Tobacco,"Richmond, Virginia"
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington"
AMCR,Amcor,Materials,Paper Packaging,"Zurich, Switzerland"
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri"
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas"
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio"
AXP,American Express,Financials,Consumer Finance,"New York City, New York"
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York"
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts"
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey"
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota"
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania"
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania"
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California"
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut"
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts"
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania"
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana"
AON,Aon,Financials,Insurance Brokers,"London, UK"
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin"
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
AAPL,Apple,Information Technology,Technology Hardware Storage & Peripherals,"Cupertino, California"
AMAT,Applied Materials,Information Technology,Semiconductor Equipment,"Santa Clara, California"
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland"
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois"
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California"
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois"
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York"
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas"
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas"
ADSK,Autodesk,Information Technology,Application Software,"San Rafael, California"
ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey"
AZO,AutoZone,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee"
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]"
AVY,Avery Dennison,Materials,Paper Packaging,"Glendale, California"
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado"
BAC,Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina"
BBWI,Bath & Body Works Inc.,Consumer Discretionary,Specialty Stores,"Columbus, Ohio"
BAX,Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois"
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey"
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska"
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota"
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California"
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota"
BIIB,Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts"
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York"
BK,BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York"
BA,Boeing,Industrials,Aerospace & Defense,"Chicago, Illinois"
BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut"
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan"
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts"
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]"
BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,"New York City, New York"
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California"
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York"
BRO,Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida"
BF.B,BrownÐForman,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky"
CHRW,C. H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota"
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California"
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada"
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey"
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia"
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio"
KMX,CarMax,Consumer Discretionary,Specialty Stores,"Richmond, Virginia"
CCL,Carnival Corporation,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida"
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida"
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey"
CAT,Caterpillar,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois"
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois"
CBRE,CBRE,Real Estate,Real Estate Services,"Dallas, Texas"
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois"
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas"
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri"
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas"
CDAY,Ceridian,Information Technology,Application Software,"Minneapolis, Minnesota"
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri"
CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts"
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas"
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut"
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California"
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California"
CB,Chubb,Financials,Property & Casualty Insurance,"Zurich, Switzerland"
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey"
CI,Cigna,Health Care,Managed Health Care,"Bloomfield, Connecticut"
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio"
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio"
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California"
C,Citigroup,Financials,Diversified Banks,"New York City, New York"
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island"
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida"
CLX,Clorox,Consumer Staples,Household Products,"Oakland, California"
CME,CME Group,Financials,Financial Exchanges & Data,"Chicago, Illinois"
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan"
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia"
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey"
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York City, New York"
CMCSA,Comcast,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania"
CMA,Comerica,Financials,Diversified Banks,"Dallas, Texas"
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois"
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
ED,Consolidated Edison,Utilities,Electric Utilities,"New York City, New York"
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York"
COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California"
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas"
GLW,Corning,Information Technology,Electronic Components,"Corning, New York"
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware"
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington"
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CCI,Crown Castle,Real Estate,Specialized REITs,"Houston, Texas"
CSX,CSX,Industrials,Railroads,"Jacksonville, Florida"
CMI,Cummins,Industrials,Industrial Machinery,"Columbus, Indiana"
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island"
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas"
DHR,Danaher Corporation,Health Care,Health Care Equipment,"Washington, D.C."
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida"
DVA,DaVita,Health Care,Health Care Facilities,"Denver, Colorado"
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois"
DAL,Delta Air Lines,Industrials,Airlines,"Atlanta, Georgia"
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina"
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California"
